sep=,
DeviceTag:,PantoD
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Inertial data Mode - Rate Quantities(with mag)
StartTime: ,2023-07-12_11:46:10_585 GMT-5
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1,3131512564,9.679029,-0.758853,0.889717,1.173452,0.478132,-3.624300,-0.362793,-0.140625,0.965576
2,3131529231,9.767966,-0.775597,0.840733,0.080315,0.436216,-2.927032,-0.364502,-0.137207,0.965576
3,3131545898,9.796581,-0.951749,0.709518,0.812505,0.377486,-2.405814,-0.365479,-0.142334,0.969971
4,3131562565,9.831414,-1.051539,0.639046,1.743130,0.440519,-2.500478,-0.368896,-0.141357,0.966553
5,3131579232,9.745505,-1.084909,0.596711,2.155123,0.343703,-2.910051,-0.369873,-0.143066,0.965576
6,3131595899,9.843063,-1.067880,0.620691,2.986486,0.147087,-3.441796,-0.365234,-0.141357,0.965576
7,3131612566,9.839767,-0.932689,0.610185,3.845318,-0.096816,-3.814180,-0.363525,-0.143311,0.965576
8,3131629233,9.792567,-0.744210,0.753576,3.842372,-0.040660,-3.362615,-0.370605,-0.137939,0.963867
9,3131645900,9.785868,-0.568421,0.764576,1.260599,-0.162180,-2.633562,-0.362793,-0.136230,0.963867
10,3131662567,9.803917,-0.694830,0.689898,-0.514060,-0.374535,-1.577653,-0.364502,-0.140625,0.962158
11,3131679234,9.809667,-0.895652,0.650309,0.070569,-0.103591,-1.097684,-0.365234,-0.141602,0.962891
12,3131695901,9.756467,-0.853642,0.674733,1.132715,0.087090,-0.802510,-0.367188,-0.144043,0.964844
13,3131712568,9.767897,-0.815222,0.646949,1.071885,0.236796,-0.509398,-0.370605,-0.142334,0.963867
14,3131729235,9.795683,-0.920336,0.629472,1.016305,0.405481,-0.385919,-0.370605,-0.139648,0.966553
15,3131745902,9.815073,-0.966010,0.623663,1.631279,0.499057,-0.531169,-0.365234,-0.142334,0.966553
16,3131762569,9.770518,-0.965450,0.717152,1.622801,0.448267,-0.754448,-0.370605,-0.140625,0.962158
17,3131779236,9.767094,-0.819543,0.834462,0.743979,0.133615,-1.009345,-0.367920,-0.141357,0.963867
18,3131795903,9.806117,-0.779627,0.791554,-0.467406,-0.000346,-0.856348,-0.368896,-0.138916,0.962158
19,3131812570,9.779415,-0.937821,0.739077,0.228664,-0.123697,-0.716413,-0.367920,-0.141357,0.965576
20,3131829237,9.761313,-0.931306,0.629009,1.109011,-0.181696,-0.773043,-0.367920,-0.138672,0.965576
21,3131845904,9.771259,-1.041940,0.648281,1.804280,-0.565528,-0.932584,-0.365234,-0.140625,0.961182
22,3131862571,9.784366,-0.823500,0.705381,1.597483,-0.140165,-1.208356,-0.370605,-0.141357,0.961182
23,3131879238,9.852190,-0.934654,0.660699,1.055634,0.224053,-1.640224,-0.366211,-0.141357,0.963867
24,3131895905,9.814754,-1.008310,0.655347,2.085380,0.620333,-2.004168,-0.367920,-0.139648,0.967285
25,3131912572,9.890038,-0.946440,0.696056,2.688776,0.744376,-2.460945,-0.367188,-0.140625,0.960449
26,3131929239,9.866726,-0.791973,0.665239,2.824588,0.683507,-2.588113,-0.368896,-0.137939,0.962158
27,3131945906,9.884724,-0.760202,0.631349,3.139560,0.838272,-2.488786,-0.367188,-0.138916,0.960449
28,3131962573,9.786298,-0.863737,0.654494,3.398952,1.045875,-2.527794,-0.370605,-0.136963,0.961182
29,3131979240,9.729138,-0.963621,0.715198,3.944004,1.222373,-2.667639,-0.369629,-0.138672,0.963867
30,3131995907,9.760034,-0.682801,0.783665,4.051359,1.202343,-2.337402,-0.366211,-0.135254,0.964600
31,3132012574,9.797198,-0.597768,0.726708,3.696034,1.233412,-1.771029,-0.368896,-0.137939,0.958496
