#sep=,
#DeviceTag:,PiernaD
#FirmwareVersion:,2.2.1
#AppVersion:,2022.0.0
#SyncStatus:,Synced
#OutputRate:,60Hz
#FilterProfile:,Dynamic
#Measurement Mode:,Inertial data Mode - Rate Quantities(with mag)
#StartTime: ,2023-07-12_11:46:10_592 GMT-5
#© Xsens Technologies B. V. 2005-2023
#
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1,3131545898,9.286650,-2.633903,-0.378440,-3.371709,-3.567802,1.215820,-0.406494,-0.389648,0.995605
2,3131562565,9.334672,-2.758012,-0.295822,0.704906,-2.876511,1.615041,-0.403809,-0.389648,0.990967
3,3131579232,9.373192,-2.888022,-0.689582,4.770116,-1.220087,2.637308,-0.403809,-0.390381,0.992920
4,3131595899,9.323214,-2.933239,-0.940835,12.258585,-1.059342,4.010893,-0.397461,-0.390625,0.990234
5,3131612566,9.549504,-2.872242,-0.715739,10.160352,-2.289046,3.519334,-0.406494,-0.385986,0.994629
6,3131629233,9.737086,-2.878670,-1.014680,-13.458817,-4.933893,1.699884,-0.405518,-0.385986,0.996582
7,3131645900,9.583668,-2.636031,-0.915101,-17.134415,-4.471073,1.183865,-0.401123,-0.389648,0.990967
8,3131662567,9.309934,-2.418776,-0.348602,-7.561230,-1.732815,1.323082,-0.398438,-0.392334,0.990234
9,3131679234,9.344182,-2.566221,-0.513522,-2.585653,-1.879127,0.769143,-0.403809,-0.395996,0.990234
10,3131695901,9.344676,-2.716441,-0.805175,5.840075,0.704778,0.668805,-0.400146,-0.396729,0.993896
11,3131712568,9.248072,-2.818632,-0.804370,9.005665,0.801979,0.722029,-0.400146,-0.388672,0.989258
12,3131729235,9.308907,-2.851049,-0.758322,8.665567,-4.444304,-0.412070,-0.400146,-0.394287,0.984619
13,3131745902,9.448248,-2.824390,-0.629417,7.485435,-3.694121,-0.246445,-0.400146,-0.391357,0.991943
14,3131762569,9.410256,-2.780560,-0.549059,7.763729,-2.792310,0.493525,-0.399170,-0.386963,0.993896
15,3131779236,9.588367,-2.740942,-0.910462,2.849521,-1.548518,0.946216,-0.398193,-0.383057,0.997559
16,3131795903,9.397132,-2.661048,-0.815211,5.112494,-0.877824,2.063340,-0.398193,-0.386963,0.992920
17,3131812570,9.291794,-2.566488,-0.483939,2.552965,-1.393677,2.627370,-0.397461,-0.385010,0.990967
18,3131829237,9.352702,-2.588427,-0.581082,-5.719368,-0.820785,3.034817,-0.400879,-0.386963,0.991943
19,3131845904,9.197208,-2.648987,-0.690207,-3.747484,1.251110,3.836520,-0.398193,-0.389648,0.991943
20,3131862571,9.212790,-2.709960,-0.752126,1.711473,-0.740642,4.090393,-0.401855,-0.385010,0.993896
21,3131879238,9.327634,-2.891259,-0.729009,3.999404,-1.687288,3.582160,-0.401855,-0.388672,0.990234
22,3131895905,9.262970,-3.110232,-0.921839,7.890911,-2.897245,3.473871,-0.406250,-0.382324,0.993652
23,3131912572,9.406217,-3.069032,-0.905708,18.988392,-0.824704,4.456430,-0.400146,-0.377686,0.993652
24,3131929239,9.466028,-3.011177,-0.573527,25.687813,0.592852,5.042660,-0.402832,-0.374023,0.993652
25,3131945906,9.409764,-2.978394,-0.544500,28.342062,-1.064710,4.397117,-0.402588,-0.365967,1.000977
26,3131962573,9.332539,-2.954210,-0.574417,24.229967,-1.742820,3.133586,-0.404541,-0.358643,1.004639
27,3131979240,9.468644,-2.887583,-0.718768,18.746796,0.100664,2.890723,-0.403564,-0.351318,0.999023
28,3131995907,9.399528,-2.799332,-0.943681,18.542767,2.828433,3.399610,-0.402588,-0.348633,1.000977
